,리뷰
2158,새벽시간에 너무 큰소리로 부르지 말아주세요 이웃집에서 시끄럽대요
2167,기대가 커서 그런지 저는 생각보다 별로였어요 튀김옷이 너무 두꺼워서 그런지 양념이 잘 베이지않는거 같네요
2195,배달은 한시간 넘게 걸렸는데 가격대비 양도 많고 맛있었어요~
2209,배달이 안왔는데... 주문완료가 되어있네요... 1시간 30분 지났습니다..
2227,양념은 먹겠는데 후라이드에서 탄맛이...
2236,매운맛시켰는데..전혀안맵넹.ㅠ
2237,역시 빠다 양념소스추가가 최고의 조합인듯...
2268,배달은 1시간20분만에 도착했구요 식구들 다 자고 있어서 문옆 신발장 위에 올려두고 가시라고 메모 남겼더니 문 두드리고 배달이요~ 배달이요~ 크게 말씀하시면;;; 영수증도 안보시고 배달 하시나요.. 주소 확인할때 보이실텐데..
2277,진짜 맛있어요 진짜..... 근데 양이 좀 적어보여요 두명이서 다먹었어용
2286,한시간 반 넘었는데 안오네요... 아무리 주말이지만 너무한데요. 다신 못시켜먹겠네요
2294,양이 너무적어요....
2305,이거 뭐 어떻게 먹으라고 3가지 치킨을 이따구로 짬뽕시켜놓고 ㅡㅡ 배달도 불친절하고 저번에 이쁘게 맛잇게 해주시더만 짜증 ㅡㅡ 다신안시킴
2309,비오는 날 휴일에 배달이라 1시간40분이나 걸린건 그럴 수 있어요. 양도 많고 맛있다는 후기가 너무 좋아서 매번 주문해먹던 홍닭에서 안시키고 기대하며 주문했는데 배달은 1시간 40분 양은 사진처럼 한입 조각으로 8~9개씩 있네요. 20900원짜리 치킨을 시켰는데 이건 해도해도 너무한거 아닌가요??! 저 작은 한박스당 7000원짜리라는건데... 이걸 20900원이나 받고 파시다니 진짜 어이가 없습니다!!!
2325,배달대행 문 부수는줄 알았어요 노크에서 신경질적인 느낌 받아보셨나요? 문여니까 박스내밀면서 눈싸움하자는줄 알았습니다 첫인상이 이래버리니 맛도 양도 그렇게 만족스럽게 와닿질않네요
2332,양은 드럽게적음 진짜 살다살다 이렇게적고 누가먹다남은거 배달한거같음 배달도 1시간반기다렷건만 맛도 그냥그렇고 그냥 최악 장사의기준이 맛으로보는게아니라 단지 이름과 디자인으로만 승부보는 느낌 프렌차이즈 치킨집따라갈라면 100년은 걸릴듯
2338,리뷰 보고 기대하면서 시켰는데 주황색 닭지방이 너무 많아요...다 갈라보면서 지방 떼고 먹어야 했을 정도로 거의 모든 조각마다 반은 지방이었어요 처음 먹어본 건데 너무 실망스럽고 다신 안 시킬 것 같아요 비 오는데 배달 오신 분만 공연히 고생하셨네요
2340,어제도 오늘도 시키네요 오늘은 배달 양호하게 왔네요 감사합니다
2343,또 시켜 먹었네요~ 정말 맛있는거 같아요 아이들도 와이프도 너무너무 좋아해요~ 프렌차이즈 치킨집들 솔직히 가격대비 별로라고 생각하는데 여기는 시켜먹을수록 실망 시키지를 않네요 단지 배달하실때 조심히 가져다 주셨으면 좋겠어요 다 엎어지고 쏠려있고 그래요 부탁드릴께요~
2345,세트로는 처음먹는데 세가지 맛이라 좋았어요.양은 반반시킬때랑 비슷한데 세곳으로 나눠담아서 그런지 적어보이는거지 양이 줄지는 않은것 같아요. ** 선결제후 이벤트 참가했는데 소스 안와서 전화해서 받았어요. 토마토 소스로 왔는데 소스맛있네요 번거롭게 전화해서 받은거라 별은 뺐어요.
2353,성인 2명이서 먹고서도 반정도 나았네요 근데 닭에서 비린내가 나요...
2365,이미지보단 양이 적어서 아쉬웠지만 맛은 좀 독특하네요~
