,리뷰
10167,튀김 다 작음 특히 오징어랑 김말이는 더작음 세트떡볶이는 길거리음식1인분 정도 주먹밥 추가 안했으면 배고플뻔.. 맛은 있는데 양이 너어어어어어무 적네요
10182,ㅈㅈㅈㅈㅈㅈㅈㅈㅈ.
10209,흠. 평이 너무 좋아서 샀는데 그냥 그래요. 가격대비 양도 적은거 같아요 ㅜㅜ 샐러드는 맛있네요.
10229,리뷰이벤트참가라했는데 돈까스가 안왔네요 그리고 배달기사가 바뀌었나봐요
10246,배달을 엄청늦었고 맛은 보통입니다
10266,기대하지 않았는데 맛있어요~~넘 늦게 와서 서비스도 주셨네요~~^^*
10271,맛있고 양도 괜찮아요!!
10274,동생이 시켜먹어서 오지구요
10293,배달도빠르고 맛도있슴니다
10296,빨간 떡국이 왔네요 ㅋㅋㅋㅋ먹으란건지 소세지랑 단무지가 제일 맛있네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10311,배달이 쫌 느리네여ㅠ 맛은 있는데 떡이 너무 없어여
10399,소세지 없어짐 치즈 거의 없다고 보면됨 사진 보면 알겠지만 용기에 반의반정도 양ㅋㅋ전에 먹을때랑 너무 다름
10461,3~4인분 시켰습니다. 배달요청 시간에 딱맞춰서 오셨으나 단무지는 1인분양에 새우튀김 메뉴추가해서 시켰는데 칠리소스도없고 그 흔한 간장 하나 없고 맛도 일반 분식집보다 못하다고 느꼈어요 다시는 안먹을래요
10462,솔직히 가격대비 정말 별로임.... 맛이없음
10523,솔직히 맛이 없네요.. 오뎅도 저품질 제품인것 같고 조스떡볶이 같은 곳이랑 비교했을때 맛이 없어서 얼마 못먹았네요..
10525,늦게옴맛있음ㅊㅊㅊㅊ
10533,비싼느낌 비싼느낌 비싼느낌ㅈ
10544,먹기는 잘 먹었는데 분명 카드결제라고 했는데도 안되는 리더기 가져와서 현관에서 한참하더니 결국 안되서 번거롭게 현금결제했어요 다음에는 잘 확인하고 가져오셨으면..
10556,저번에 매장의 실수로 추가금액을 냈는데도 불구하고 계란 만두 소세지가 오지 않았고 음식의 내용물엔 떡과 오뎅뿐이었어요 전화해서 여쭤보니 빠진거같다 다시갔다주냐고 하시길래 번거로우실까봐 다음에 빠진거만큼 넣어달라고 했고 알겠다 다음에 전화로 꼭 말해달라 했어요 며칠전 친구들이 놀러와서 또다시 주문을 했고 빠진만큼 넣어달라 전화를 드렸는데 의심하는 말투에 계속 물어보시고.. 제일 먼저 시킨곳이었고 바로 집앞인데 배달도 제일 늦고 매운맛 조절도 안돼있고 두번째 시키는건데 여러가지로 기분상하네요 친구들도 기대했는데 실망이라고 하구요
10561,여기 음식가지고 장난질을 치네요 아무리생각해도 열받아서 또 하나올립니다 추가도 돈을 받고하시면서 그거가지고 장난질을 하시면 안되죠 앞으로 여기서는 안시켜먹는게 나을꺼같네요 혹시 여기서 배달시키실려는분들 이점은 알고 배달시키세요 돈은 다 받아먹으면서 음식가지고 장난칩니다
10563,양이 진짜 많네여 떡볶인 맛있는데 ? 닭볶음탕은 너무 달아요 ... 비추입니다
10581,국물도 쏟아져왔구 맛도 밍밍하고....기름은 또 둥둥....절반도 못먹고 버렸네요 ㅠㅠㅠㅠ떡볶이 집이라 닭발이 맛없나봐여;
10583,음식맛과 양 모두 좋으나 배달이 너무 늦음..
10587,리뷰가 좋아서 오래걸린다고 듣고도 기다렸는데 음식하는게오래걸리는게아니라 배달이 밀려서 늦게온거같네요.다 불어서 오고 계란찜은 식고 배달이 밀리면 사람 더 불러서 쓰시지 주소보고 다른곳 다 돌고 주신듯.기본으로 들어가있는 치즈양도 많지도않고 주먹밥 밥도 다 부셔지네요. 배달부분 좀 신경써서 음식을 받았더라면 이보단 좋았을거같은데 본래 맛이 어떤지 못 느낀거같아서 좋은 평을 남기기 어렵네요.다들 참고하시고 시간 오래걸린다고 하면 본인 집에 배달 늦게온다는점 생각하시면 될듯해요.
10590,먹을만해요 ㅎㅎㅆㅎ
10591,국물많이달라고햇죠 왜 떡볶이에 국물이 없는건가요 다식어서 국물이 쫄앗어요 개다가 안매운맛 너무맛없습니다 다신안시켜먹겟습니다
10602,맛잇게 잘먹엇습니다
10608,오늘은 불난오뎅을 시켯는데 떡이 훨씬 많이 왓네요...
10616,맛잇어요 ! 리뷰쓰면서도 또 먹고싶네요 ㅋㅋㅋ
10619,배달 1시간20분걸리고 단무지도 안왔네요. 단무지 없음 먹기 좀 그런데..
10632,양도 정말 많고 엄청 맛있어요!!! 사실 딴곳 주문 하려다 여기 했는데 진짜 좋았어요 다음에 또 시켜 먹을거 같아요
10655,한시간 넘도록 오지않네요.
10683,이번에는 떡이 다 뿔어서 왔네요..
10685,여기 배달친절하고 먹을만해서 자주시켜먹었는데 오늘 왜이런지 다이상하네요 배달 한시간 반 걸리고 떡은 다불어있고 친절하던 배달도 이젠 그냥저냥 초심을 잃으신건지 다신 안먹을거같네요
10694,떡복이는 매우 맛있었지만 계란찜의 배달상태가 매우 나빴습니다 포장을 더 잘해주셨으면 좋겠어요
10696,아니 불난떡볶이로 시켰는데 오댕이 뭐이리 많은지 오댕 심지어 많이 먹었는데도 끝ㄴ없네요 2번째 매운맛으로 선택했는데 떡볶이 떡도 밍밍하고 리뷰좋아서 시켰는데 실망입니다..
10700,배달이 좀 느린것같았지만 맛있었다
10720,너무 늦어요 배달이
10743,좋아요하지만 떡볶이가 걍 맵기만함
10762,저희집은 엘리베이터 없는 5층입니다. 추운날씨에 힘들게 올라오셨다는 건 알지만 짜증난다는 듯 문은 쾅 닫고 가셔서 기분이 좋진않네요. 떡볶이도 국물없이 다 쫄아있어요. 만든지 시간이 오래지났나봐요. 주말이라 기분좋게 하루를 쉬고 싶었는데 덕분에 망쳐버렸습니다.
10782,배달도 넘 늦고 떡볶인 퉁퉁 불어 못먹고 다 버렸어요.. 다시는 안 시킴
10794,그냥 그저 그랬음 역시 예전이 더 좋았음
10814,배달은 빨리와서 좋았는데. 떡볶이 맛은 밍밍해서 제가 원하는 떡볶이는 아니었네요..그래도 무뼈닭발은 괜찮았어요
10815,맛은 있었는데 생각보다 땀나고 혀가불날정도로는 맵지않아서 아쉬웠어요 하나 불만인건 배달요원이 뛰어와서 그런건지 포장을 제대로 안해주신건지 계란찜은 반쯤 열려서 봉지에쏟아져있었고 떡볶이 통은 아래가찌그러져서 뚜껑이 살짝열린건지 새서 주먹밥담는곳이랑 단무지에 다 묻어있었어요 신경좀 써주세요
10847,절대로 이 집 순대는 시키지 마십시오. 제가 떡튀순 중에 순대 제일 좋아하는 사람이고 집에 나는 가스냄새도 못 맡아서 룸메가 걱정하는 사람인데 여기 순대는 비린내가 너무 심하게 나서 반도 안 먹고 버렸습니다. 떡볶이는 먹을만해요. 양도 괜찮고. 그래도 삼천원 땅에 버리실게 아니면 순대는 시키지마세요.
10864,헐 자주시켜먹었는데 오늘은 너무 실망 ㅠㅠ치즈는 딱딱하게 굳어오고 떡이 국물을 전부 흡수해서ㅠ왔네여 배달도 1시간30분이나 걸렸는데 아무래도 비가와서 차가 막히느라 그런거겠죠??그럴거라 믿을게용ㅜㅜ
10870,비가 오는 날이라 주문이 밀려서 그러셨던 건지ㅠㅠ 계란찜을 안 보내주셨더라구요ㅠㅠㅠ 기대했는데ㅠㅠ 그래도 맛은 정말 보장합니다! 엽떡보다 건강하면서 자극적인 맛? 정말 맛있습니당~ 강추해요! 다음에는 계란찜 잊지말고 주세요ㅠㅠㅠ
10874,맛은 있는데 너무 심하게 짜요ㅜㅇㅜ
10889,맛있었어요~
10894,음식 준비에서 배달까지 1시간 정도 걸렸습니다. 보통 다른 떡볶이 집보다 양은 적은 것 같았어요. 양에 비해 가격은 좀 있는 편인듯 했습니다. 그리고 치즈 추가 하지 않으시면 치즈 양이 좀 적어요! 만약 치즈 가득을 원하시면 추가하시는 걸 추천합니다.
10900,매운맛으로 시켰는데 엽*떡볶이보다도 매웠어요ㅠㅋㅋ 배달은 55분 걸린다고 문자 왔는데 실제로는 1시간 15분정도 걸린거 같아요 배달시간이 좀 덜 걸리면 좋겠어요!
10906,어묵이 많아서 상대적으로 떡이 적어보이긴하지만 김말이까지 시켰는데 떡볶이따로 김말이따로 두번 배달왔더군요 배달원들 힘들게 두번오셔서 생색내진 않았지만 미리결제해서그런지 배째라는방식으로 늦게왔는데도 사장님은 서비스도 않주시고 김말이는 오래되서 눅눅한거 대충 데워서 주셨네요 다음부턴 절대 이용안할께요 많이파세요^^
10918,평소에 오매떡만 시켜먹다가 오매떡보다 리뷰가 많아서 시켰는데 솔직히 양념이 너무 맛이 없네요. 몇개 먹고 버렸습니다. 앞으로 재주문은 안할듯요.
10921,그냥 떡볶이임 그럭저럭
10925,요 근래 먹은 떡볶이중에 제일 별로였습니다.. 특히 당면 추가해서 먹었더니 면이 소스를 다 먹어서 팅팅 불어서 왔네요. 맛도 그냥 무난한정도지 다시 시켜먹을 정도는 아니었습니다
10926,매운양념에 물을 잔뜩넣어서 맛 조절을하시는거 같아요 온통 하얀떡에 국물은 하나도 안보이는떡볶이는 처음 받아봐요
10927,맛도별로 양도적고..
10933,배달시킬때마다 너무 느리고 배달도 성의없게 포장해주시네요.. 건대후문에 있는데는 진짜 정성스럽게까진 아니더라도 정상적으로 갖다주시고 30-35분이면 오는데 여기는 배달이 엉망이고 너무 느리네요ㅠ 계란찜에 단무지 올려줘서 계란찜 다 눌리고 찌그러지고 밑으로 국물 다 새서 뚝뚝 흐르고 .. 정성까진 안바래도 정상적으로만 배달해주세요 저번엔 튀김도 오래된건지 다 말라비틀어지고 여러번 튀긴거처럼 까맣고...
10937,아직도 안옴....아직도 안와.. 온다고 약속한 시간이 10분이나 더 지났는데 안오네오... 아......
10942,이걸 2시간이나 기다리면서 먹었다니 참 낚인기분.
10952,너무 맛있어서 매번 잘 시켜먹구있었고... 오늘도 배달원분은 너무나 친절하셨는데요..... 음식을 먹다가 안에서 머리카락이 나왔습니다... 세번 시켜먹는동안 이런일이 한번도 없었는데 당황스럽습니다... 저는 머리가 매우 긴 여자구 밝은 염색모라 제 머리카락은 절대 아닌데... 여튼 너무 당황스럽네요.... 일단 떡볶이는 여기서만 먹으니 다음번에도 시켜먹긴할건데..... 주의 부탁드립니다...쩝ㅠ.... 찝찝하네요.. 맛은있었어여...
10955,맛잇구 되게 종류도 다양하게 나와요
10957,여기맛있어요ㅎㅎㅎㅎ
10967,양이 매우 적음... 기대보다 부실... 메뉴선정 실패 역시 사람들 리뷰를 보고 많이 시키는거 먹어여한다는걸 뼈저리게느낌
10970,두개 먹었는데 양 실화 ? ㅋㅋ
10971,맛은 있습니다만  가격대비 양이 적네요.~~
10973,저번에 시켰을 때 양보다 많이 적었어요 시킬 때마다 양이 다른 듯 양이 적어서 가격대비 별로...
10993,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
11006,김밥밥자체가 입안에서 다부서짐
11016,그냥그래요. 배달이너무늦어요. ....
11024,동생이 오지게 시켜먹어서 시러용
11065,배달도 한시간걸리고 오므라이스에는 야채같은거 없이 케찹이랑 밥만넣으시나보네요. 수제치즈까스시켰는데 치즈는 없고 사람들이 좋다하는 이유를 모르겠음.
11079,맛있다까지는 아니고 보통 나쁘다는 아님 비오시는데 배달 40분이면 만족 양은 인정.
11086,배달이 너무 늦어서 그렇지 맛과 양은 정말 만족스럽습니다
11087,밥이 이틀은된듯..그것도 찬밥..
11089,배달은 1시간이상 걸림...배고프기전에 미리 시켜놓으세요
11101,면이불어 떡됐습니다
11102,배달만 빠르면 너무 좋을텐데요
11106,아직 배달이 안왔어요..
11111,라볶이 시켰는데 떡볶이옴
11113,이사와서 처음시켜요~ 맛있어요~매번시켜먹을것같아용 번창하세요~~
11120,맛있는데 떡볶이 양이 너무 적어용 ㅠㅠ
11163,오늘따라 배달이늦었음....그래서 국도 다 식음..
11170,배달이 느려요 살짝
11179,배달 1시간40분 걸렸는데 가격대비 양도 많고 맛도 있음 무엇보다 저렴한 가격에 배달이 지려요
11186,아..배달이 55분 걸린것만 빼면 괜찮네요
11196,왜 안 오는거죠..? 아직도 안 왔습니다
11227,배달 속도 괜찮아요. 양도 넉넉합니다. 맛은 질고 약간 느끼해서 제 입에는 안 맞았어요. 그래도 먹긴 먹었습니다. 그런데 먹던 중에 음식에서 박스조각 같은 게 뭉친 게 나왔어요. 어떻게 하면 이런 게 들어가는지 모르겠네요. 비위 상해서 남겼습니다. 신경쓰세요.
11281,오랜만에 시켜먹었어요 배달은 여전히 느리지만 맛과 양은 여전히 굳굳굳굳굳구루구루구루굳이네요!!!!
11285,배달은 많이 느렸지만 양이랑 맛도 좋았고 1인분인데 배달해주셔서 감사했습미다. 생수도 서비스로 주셔서 좋았습니다
11350,배달 느리지만 음식 맛이 좋음
11357,제육볶음 시켰는데 제육비빔밥이 왔네요.. ㅠ
11369,제육비빔밥 시켰는데 왠 김치볶음밥...?
11384,리뷰가 좋아서 주문 했었는데 좀실망 스럽네요 한시간이나 걸렸구요 고기가 넘 안들어 있어서 그냥 비빔밥 같아요 밥도 좀 질어요 너무 기대를 했나봐요 그래도 한개도 주문돼서 그건 좋아요~~~
11386,고기는 다 어디로 갔나요?원래 주던 고기양이 반으로 확 줄어서 왔네요ㅠ
11391,하다좋운데제발배달요청사항좀..제발확인존해쥬세여
11400,제육비빔밥시컀는대 맛있었어요다른건다좋았는데 근데 문앞에놓고노크요청부탁드렸는데 벨두번이나계속누르고인터폰으로누구냐니깐퉁명스럽게문앞에두고갑니다쌩하고가는데 배달요청사항좀잘들어주셔ㅛ으면..
11404,배송 50분 걸린다더니 한시간 10분만에 오고 음식은 식어서 옴. 토욜 아침부터 기분 나쁘기 싫어서...후라이팬에 볶아서 먹었음.
11442,배달 이렇게 느린 곳은 처음이에요
11453,맛은 그럭저럭인데 배달이 한시간 반넘게 안옴
11460,쌀 맛없고 제육도 별로고 오므라이스도 기름이 너무많아서 느끼해요 돈까스는 맛잇어요 다신 안먹을 것 같지만 뜨끈뜨끈하고 양도 많아서 잘 먹었어요
11468,제육볶음 시켰는데 왜 제육 비빔밥이 오는건가요? ????
11474,나쁘지않코 무난한식당이네요
11479,배달 좀 늦어도 괜찮은데 이건 너무식어서왔네요
11490,자취하느라 한번씩 집 밥 같은 거 그리울 때 시키면 좋지만 맛은 김밥천국 보다 못해서 항상 아쉬워요 오픈 하자마자 시켜서 그런건지는 모르겠지만 매콤하고 간간한 제육볶음 기대했는데 간도 너무 약하고 양념 자체가 엄청 연하게되있어서 색도 붉지 않이런 제육볶음 처음 봤어요ㅠㅠ 그래도 음식에 예민한 성격은 아니라 그냥 저냥 배는 채웠네요 항상 같이오는 누룽지물은 입가심으로 좋은 것 같아요
11525,예상 배달 시간 60분 넘게 기다렸는데 ..
11527,배달시간 늦으셨어요...
11551,맛이고 뭐고 배달한지 1시간이 넘었는데 오질않네 무슨 문자로 오는 배달시간 못지킬꺼면 그렇게 보내놓질 말던가 이거 배달하나때매 집에 묶여있어야되는게 어이가없음 그리고 전화한이후 음식가지고 나간지 30분이 넘었단다 기사님이 그럼뭐 다 식혀서 먹을꺼면 그냥 편도 드세요 여기 시켜먹지말고~ 1인분 주문되서 괜찮다 생각했는데 그냥 노답임
11629,맛 보통 가격대비 양은 최악
11633,배달시 주문사항에 벨누르지마시고 전화달라하엿는데 못봣다고하면서 벨누르시고 면은 다불어서왓고 밥은 다식어서 왓네요 다시는 안시킵니다.
11635,깔끔하고 맛잇네여!! 배달이 좀 늦지만
11649,와 진짜 상술이네 여기 밥은 많이 주는데 메인반찬은 진짜 조금주네 이 많은밥 어떻게 먹으란거지? 맛도 그냥저냥 이고 에라이
11650,は?は?は?おなかいぱい?
11651,ㅎㅌㅊㄱㅆㅎㅌㅊㅎㅌㅊ
11652,참치도그렇고 양배추가반이네요 ㅋㅋㅋㅋ 별로입니다
11656,이거(+장국) 8천원임... 밥은 많음.. 맛도 괜찮은데 고기가 딱 세조각ㅠ 양배추랑 양파 맛있더라^^ 밑반찬은 안먹는것들이라 개인적으로 별로였음 50분 걸린다더니 한시간 5분걸림
11660,가격이 다른것보단 비싼거 치곤 양이 많이 적지만 잘 먹었습니다. 오징어 삼겹살보다 양배추양이 너무 많은거 같습니다;
11675,양식 음식들이 다 느끼하네요... 한식 시켰을땐 아니랬던거 같은데... 여기서 돈가스는 못먹겠어요
11676,배달좀빨ㅇ리해주세요
11684,맛도 잇고 양도 잇지만 정해진시간보다 늦네요
11689,그냥그럼완벽함완벽함
11698,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11705,배달 너무 오래걸리네요....국물 먹을려고 국을 추가했는데 다식어서 ㅋㅋㅋ
11706,돈까스는 정말 맛잇는데 오므라이스가 좀 맹맛이네여 돈까스랑같이먹어야지 간이 딱맞아여 기대햇던거에 별로에여
11707,배달1시간걸리네요....
11715,배달만 1시간20분 걸렸고 음식도 완전 식어서 오고 오므라이스 밥도 굳어잏고 맛도 눅눅...
11716,편의점 도시락급...ㅠㅜ
11729,무난하게 맛있어요. 양이 좀 적게 느껴지네요.
11735,오후 세시에 시켰는데 한시간 넘어서 배달이 오더라구요 ;; 완전 맛집이라능
11773,맛나고 좋네요 잘먹었어요
11793,맛있어요 ~~~~~
11799,첫주문이였는데 오므라이스+돈까스세트 돈까스는 생각보다 작은 크기였고 맛은 쏘쏘 도시락 안에있는 피클은 따뜻?미지근한 온도라놀람 오므라이스는 안에 양파만 있고 햄이나 이런게 조금이라도 하나도 없음..그리고 볶음밥인데 밥이 너무 질척질척 질었고..세번째사진처럼 안볶이고 맨밥인 상태가 군데군데 있어서 싱거움... 후기가 좋아서 기대가 컸던거 같기도 하고.. 다른건 몰라도 이 메뉴는 가격대비 정말 별로.. 이가격에 더보태서 다른데 먹을껄 이라는 후회남을정도? 였네요 다시 시킨다하더라도 이 메뉴는 안시킬가같음.
11816,요청사항좀 잘읽어주세요ㅠ
11850,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11855,흠........... 옛날도시락은 뭐가 너무 없네요
11859,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11864,라볶이가 정말 맛없습니다
11874,배달과정이 불만족 ㅡㅡ
11879,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
11898,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11899,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11900,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
11902,옛날 도시락 시켰는데 저번엔 볶음김치가 와서 맛있어서 또시켰는데 왜 함박이 온거죠 배달 신경써주세요
11906,배달원 팔다리 다부러졌어요? 아님 조리하는 사람 팔다리가 부러졌나? 3시21분 주문 배달예정시간80분 현재 시간 4시58분 뭐하자는거지 진짜? 장사 이따구로 할거면 딴 동네가서 하는게 어떨까 싶음 자취생 많은 대학가에서 장사 이딴식으로 하면 금방 망한다는걸 모르시나?
11908,맛도 있고 양도 적당한데 문제는 배달 시간임 바쁠 시간대에 주문하면 50~60분 이해합니다 근데 안바쁠 시간에 주문해도 똑같이 50~60분 걸리는게 이해안됨!! 다른 도시락 업체들이 1인분 배달 서비스 시작하면 배달 빠른 곳으로 갈아타겠음 근데 리뷰 작성하라고 알림 온 지금 이 시간까지 배달 안왔음..제 리뷰 공감되실겁니다
11918,처음 먹어보는 비빔밥 맛이였어요 주문한 환타도 깜박했는지 안주시고ㅜㅜ 전화했더니 네번째만에 받으셔서 그럼 어떻게 할까요라니.. 평이 좋아 시켜봤는데 저는 다시 안시킬듯 하네요
11968,ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ
11979,처음에는 한그릇주문이라도 82왔는데 이젠 주문하면 기본늦네요 진작 배고프면 늦게 오고 두개주문하면 그나마 82오고 한그릇이라도 고객입장에선 쫌너무 하네요 미스몽 도시락 전 요기요 하면서 마니 주문해준거 같은데 쫌너무하네요 배달직원은 오늘은 쫌늦어네요 하니 인상쓰면서 여기식당멀어요 지금까지 배달원 직원분들은 그런적 없어는데 오늘 온사람은 저랑싸우자는 분위기네요 솔직히 싸가지없게 말해도 제가참아습니다 저희 입구에는 cc티비가 있거든요 오늘 배달온거 너무 기분나빠서안먹고 버릴거구요 하나시키면서 눈치보면서 먹을 빠엔 주문안하는게맞네요
11981,밥이 쫌떡져서 그래고요 매번 시켜먹는데 이번에는 쫌 그러네요 간만에 시켜먹어서 그런지 ㅎ
12003,공기밥 추가하고 돈도 지불했는데 공기밥 안옴
12041,라볶이 먹고 싶어서 시킨건데 면이 블럭인 상태로 있었고 돈까스는 그냥 그랬어요 이 음식들을 먹어서 배부른게 기분이 좋지만은 않네요 그리고 배달이 좀 늦게왔는데 아예 음식점에서 늦게 나왔다면 괜찮은데 많이 돌아다니셨는지 음식들이 다 차갑더라구요 추천은 안할 것 같아요
12062,괜찮았어요
12080,올라가긴 힘들지만 내려가는건 순식간입니다
12081,돈가스 생선가스 양 이거 실화임? 도시락케이스도 작은편인대 거기에도 안차는.. 돈가스 두께도 엄청 얇고.. 돈가스는 일반 분식돈가스 반보다 더 작구요. 한 3분의1정도..그리고 엄청 얇아요. 그거 한장 옴 생선가스는 두조각 옴.. 오므라이스돈까스도 돈가스 한장.. 좀 심하네요..
12086,밥이 꼬두밥으로 그것도 살짝 덜익은 상태로 배달됐네요 처음시켜봤는데 실망했습니다 다시 배달시킬일 없을거 같네요
12088,솔직히 맛은 별로입니다 간이 너무 세고 맛 자체도 기존 소스들 맛이랑 많이 달라요 그래도 혼자 살아서 집 밥 먹고 싶을 때 가끔 시켜먹어요
12090,양이 좀 많이작아요~ 맛은있는데... 좀 많이작아요
12101,맛  양 다별로 별하나도 아깝
12144,내가 뭐 시켰는지 기억이 안나네
12149,음식이 식고 굳어서 왔어요..라볶이도 다 눌러붙어 있엇구요...
12150,쏘쏘 그냥 분식점 맛입니다
12154,음 라볶이는 좀 아니였네용...ㅠㅠ 역시 그냥 밥이 무난합니다^^
12160,김밥천국 가십셔...
12162,진짜 너무 맛없음 다신 안시킬겁니다 반찬에 딸려온 절인무가 이중에 제일 맛있음 ㅋㅋ 라볶이는 조리 제대로 안된거 같다고 환불요청하니까 오늘 30개 팔렸는데 무슨 소리냐고 되려 따짐 스트레스받음 남자친구가 전투식량보다 맛없대요 애인이랑 헤어지고 싶은분들은 시켜드세요 장사 이런식으로 하는거 아닙니다 기분좋게 밥먹으려다가 다 잡쳤음 라면끓여먹을걸
12163,라볶이 솔직히 너무 별로입니다. 금방 배달왓는데 솔직히 너무 불고 맛있지는 않습니다. 혼자 먹을건데 라볶이가 굳이굳이 먹고싶다 하시는분들만 드세여.
12164,앙앙앙 히릿~ 역겹죵?
12165,리뷰 몰아서 씁니다... 맛 양 상 배달 하 배달해주시는분 친절하시지만 너무 느림
12183,ㅅㅅㅅㅅㅅ ㅅㅅㅅㅅㅅㅅㅅ
12192,맛잇어용좋아요 ㅎㅎㅎ
12195,맛 그닥 가격값못함 하지만배달까지생개하면이해함
12203,또 시켜먹었는데요 여전히 배달은 느리지만 맛있습니다
12219,배달 조금 느린거 빼고는 맘에드네요
12223,고기가 다 식고 반찬도 몇 없어서 가격은 더 비싼데 편의점 도시락보단 못하더군요
12224,배달만 빨랐어요... 돼지불백 맛과 양은..그닥
12225,양도 많고 맛있어요
12239,굿ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
12247,그낭 한끼로 적당히 먹을만했어요 ㅎㅎㅎㅎ
12260,배달이좀늦어서많이배거팟슴... 그런상탸에서먹으니맛은잇엇던듯....
12265,초심 잃었네요 이제 다시 주문할일 없을듯
12269,늘 잘먹고있습니다.
12272,초심잃으신거 아닌가요...?;;많이 버셨나보네 돈까스 이만큼 주실거면 세트 없애는게 나을거 같은데
12274,항상 밥시켜먹다 라볶이시켰는데 면도 너무불고.. 김밥도 끝까지 안썰려있어서 먹기 좀 불편했어요ㅠ
12275,생각보다 라볶이는 맛없음
12279,맛도 괜찮고 앙도 괜찮은데 도시락집에서 뭘시키면 빨리 먹고싶은거일텐데 1시간 10분만에 받은건 좀 맘상하네요
12280,떡볶이 진짜 맛없네요;;
12291,낙지국물이 세서 밥한쪽을 점령햇네요 비벼먹기 싫어서 하얀부분만먹음 ㅡㅡ; 낙지도 소금끼를 잘안뺀느낌 짜요 여기이제아웃...
12349,하...오늘은 고난의 연속인가!!!!!! (7500원 가격에 비해 돈까스 김보다 작음)여쭤보니 배달실수 잘못와서 죄송하다고 다시 가져다 주신다해서 1그릇 가지고 오시면 연초부터 좀 그럴까봐 돈까스랑 다른거 1그릇 돈 내고 더 시켰는데 또 1시간이 넘도록 안온다....12시33분 주문이였는데 현재시간 3시30분...... 진짜 너무 하는거 아닌가 하......
12380,이번에 정말 맛없네요.
12385,평점믿고 시켰었는데......배달은 진짜 빠릅니다! 쿠폰도 제공됩니다. 그런데 짜장면은 너무 불어있어서 못먹을 지경이였고...... 바삭함이라곤 절대 느낄수없던 탕수육과.. 케찹을 넣은 것 같았던 붉은 볶음밥..밥에 케찹과 계란을 볶아서 그 위에 짜장소스를 뿌리신건가요..? 야채도 하나도없고........ 짜장소스 맛은 3분짜장맛이였어요...
12389,배달진짜늦게와서전화까지다하고 짜장면다불어서오고짜장소스가너무적어서맛이안나네요
12433,양파만 많고 맛이 정말없다.
12439,짜장면이 싱겁고 탕수육도 별로였어요~ 특히 일회용 용기로 줘서 다시는 안 시켜먹을듯..
12445,맛있어요 배달도 빠르고요
12462,배달빠름 그게다임 간짜장 상태가 왜이러냐...
12466,미침 간짜장이랑 짜장을 시켰는데 짜장은 멀쩡한데 간짜장이 불어터져서 옴 ㅋㅋㅋㅋ 이럼 누가 간짜장을 먹음
12468,괜찮더라구요 탕수육도 나쁘지 않았고 배달특성상 면이 좀 불긴 했지만 괜찮았어요
12479,탕짜곱 잡채밥시켰는데 잡채가 너무 불어서 맹탕이고 짜장면은 면도 다불어터져서오고 소스에서 신맛이 나네요 정말 돈주고 먹기 아까웠어요
12488,배달이 빨랐어요!..
12504,탕수육 눅눅함 볶음밥 맛없
12522,짬뽕안에 들어있던 플라스틱.. 리뷰 귀찮아서 잘 안쓰는데 조심해주셧으면 해서 답니다. 따로 전화는 안함 다른분들 조심하세요
12528,짬뽕이 별로엿어요
12533,정말짬뽕맛이었따.
12553,짜장면을 시켰는데 떡이 오더라고요 탕수육은 그냥 중하
12556,배달은 40분 걸리고 짜장은 다 불었고 신기한건 얼마나 흔들었는지.. 짜장이 다 비벼져 있는 기적이.... 탕수육은 습기차서 눅눅 ㅠㅠ 배달 여러군데 한번에 출발해서 마지막으로 온것으로 예상.. 너무 실망
12560,배달은 빠르네요 맛은 그냥 그럭저럭이네요
12578,배달이 너무 느렸어요ㅠㅠㅠㅠㅠㅠㅠ
12587,싱글셋트인거 시켯는데 전부 다 별로네요 탕수육인지 피수육인지 맛없게 만드는것도 능력인데 새해부터 줫같네요
12589,음 그냥저냥 먹을먀함
12594,자장면 맛이 별로에요
12610,볶음밥은 먓있는듸ㅣ 짬뽕은별로
12637,쟁반짜장이랑 삼선볶음밥을 시켰는데 쟁반짜장은 괜찮았는데 볶음밥에 뿌려진 짜장소스가 시큼하더라구요; 제가 삼선소스맛을 모르는건지 아니면 소스가 상해서 그런지 모르겠지만 소스는 손도안대고 밥만먹었습니다. 다시는 시키고싶지 않네요..
12638,배달이 너무느려요~~~~~~
