업체명,카테고리,메뉴,맛,양,배달,리뷰,date
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(간장)),5.0,5.0,5.0,양도 많고 맛도 있고 배달시간도 안내시간보다 일찍 와주셔서 좋았습니다. 배가고파 사진은 못남겼지만 양이 2~3인용이라더니 3인용이었나봐요 정말 배부르게 잘먹었습니다,2018년 5월 6일 일요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(간장)),4.0,4.0,4.0,맛있게 잘 먹었어용 ㅎㅎ 마니파세영,2018년 3월 8일 목요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(간장)),5.0,5.0,5.0,가격 대비 맛과양 둘다 좋아요 ㅎ,2018년 2월 14일 수요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（1~2인）（김치찌개＋공기밥1＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(공기밥 추가)),4.0,4.0,5.0,맛있어요!!!!!!,2018년 3월 24일 토요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（1~2인）（김치찌개＋공기밥1＋밑반찬＋쌈）/1(고기 선택(고추장)),3.0,4.0,4.0,걍 나가기 구찬을때 먹을만함니다,2018년 2월 24일 토요일
전주석쇠불고기-본점,한식,석쇠오삼불고기（小）（냉열무국수 or 냉열무우동＋쌈）/1(고기 선택(매콤)메뉴 선택(냉열무우동)),5.0,5.0,4.0,열무냉우동 넘맛나요 맛있는데 저한텐 약간매웠어요. 매운걸못드시는분은 쪼끔 힘드실것같아요,2017년 12월 23일 토요일
전주석쇠불고기-본점,한식,석쇠오삼불고기（4~5인）（공기밥4＋김치찌개＋밑반찬＋쌈）/1(추가 선택(왕만두 추가고기 추가))육쌈비빔냉면 1인/1(고기 맛 선택(광양)),5.0,5.0,5.0,불향이진하고 맛있어서 이삿날 먹곤 이틀만에 다시시켜먹었어요~ 단골해야겠어요.,2017년 10월 21일 토요일
전주석쇠불고기-본점,한식,석쇠오삼불고기（4~5인）（공기밥4＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(계란찜 추가)),3.0,3.0,3.0,그냥괜찮았어요!양이조금적긴하네요,2017년 12월 5일 화요일
전주석쇠불고기-본점,한식,석쇠오삼불고기（3~4인）（공기밥3＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(석쇠고기 추가))콜라 500mL/3,4.0,4.0,4.0,전 고기 추가 해서 배달했는데ㅡ매콤은 조금 맵긴 하지만 맛있어요 깔끔하고 근데 젓가락을 안주셨어요 ㅠㅠ,2017년 11월 12일 일요일
전주석쇠불고기-본점,한식,석쇠오삼불고기（3~4인）（공기밥3＋김치찌개＋밑반찬＋쌈）/1(고기 선택(매콤)추가 선택(계란찜 추가)),4.0,1.0,3.0,제가 잘 좀 해달라고 남겼는데 전 매끼를 먹어도 밥한공기 다 못먹는데.. 다들 부족해가지고 하.. 맛은 솔직히 괜찮은데 양이 너무 적네요 전 고기도 다 반 잘라서 먹는데ㅎ 실망스럽네요 저번에 양은 괜찮았는데. 다음에 먹게된다면 잘 해서 보내주셨으면 하네요,2017년 11월 6일 월요일
